Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	1000000
IndexSize:	23.84 MiB (estimated)
DataSize:	957.49 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:12:15 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 1000000
Threads: 10, Write Ratio: 50%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5717] 02 Apr 20:12:15.505 . file.c:200 Creating directory structure: testdb/si
[5717] 02 Apr 20:12:15.505 - file.c:211  -> Creating testdb
[5717] 02 Apr 20:12:15.506 - file.c:211  -> Creating testdb/si
[5717] 02 Apr 20:12:15.506 . sst.c:283 Manifest file not present
[5717] 02 Apr 20:12:15.545 . db.c:58 Starting compaction of the memtable after 4117 insertions and 0 deletions
[5717] 02 Apr 20:12:15.545 . sst.c:595 IN sst_merge the REFCOUNT IS at 3
[5717] 02 Apr 20:12:15.545 - log.c:159 Log file testdb/si/1.log created
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
[5717] 02 Apr 20:12:15.546 - sst.c:660 Serving sst_get request from immutable memtable
